"C","Day-Ahead Energy Market Hourly LMP Report"
"C","Filename: WW_DALMP_ISO_20191219.csv"
"C","Report for: 12/19/2019 - 12/19/2019"
"C","Report generated: 12/18/2019 12:36:29 EST"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","12/19/2019","01","472","UN.MBTA    14.4MBTA","NETWORK NODE",97.98,97.41,0.16,0.41
"D","12/19/2019","01","473","UN.COMERFRD34.5MCIN","NETWORK NODE",94.03,97.41,0.16,-3.54
"D","12/19/2019","01","474","UN.EAST_AVE34.5MCNL","NETWORK NODE",96.36,97.41,0.16,-1.21
"D","12/19/2019","01","478","UN.MIDDLETN115 MI10","NETWORK NODE",98.42,97.41,0.16,0.85
"D","12/19/2019","01","480","UN.MIDDLETN13.2MID2","NETWORK NODE",98.42,97.41,0.16,0.85
"D","12/19/2019","01","481","UN.MIDDLETN20.9MID3","NETWORK NODE",98.42,97.41,0.16,0.85
"D","12/19/2019","01","482","UN.LAUREL  22  MID4","NETWORK NODE",97.81,97.41,0.16,0.24
"D","12/19/2019","01","484","UN.MILSTONE24.0MIL2","NETWORK NODE",97.45,97.41,0.16,-0.12
"D","12/19/2019","01","485","UN.MILSTONE24.0MIL3","NETWORK NODE",97.45,97.41,0.16,-0.12
"D","12/19/2019","01","486","UN.MILFORD 13.8MILF","NETWORK NODE",99.66,97.41,0.16,2.09
"D","12/19/2019","01","487","UN.TOPSHAM 34.5MILR","NETWORK NODE",93.46,97.41,0.16,-4.11
"D","12/19/2019","01","489","UN.MERIMACK13.8MK1","NETWORK NODE",94.75,97.41,0.16,-2.82
"D","12/19/2019","01","490","UN.MERIMACK23.0MK2","NETWORK NODE",94.75,97.41,0.16,-2.82
"D","12/19/2019","01","492","UN.MONTVLLE69  MO10","NETWORK NODE",98.08,97.41,0.16,0.51
"D","12/19/2019","01","493","UN.MONTVLLE13.8MON5","NETWORK NODE",97.79,97.41,0.16,0.22
"D","12/19/2019","01","494","UN.MONTVLLE22.0MON6","NETWORK NODE",97.79,97.41,0.16,0.22
"D","12/19/2019","01","495","UN.MIDDLEST34.5MONY","NETWORK NODE",93.01,97.41,0.16,-4.56
"D","12/19/2019","01","497","UN.SHAWINGN13.8MPWR","NETWORK NODE",99.25,97.41,0.16,1.68
"D","12/19/2019","01","502","UN.MYSTIC  22  MYS7","NETWORK NODE",96.89,97.41,0.16,-0.68
"D","12/19/2019","01","503","UN.MYSTIC  24.0MYSJ","NETWORK NODE",96.27,97.41,0.16,-1.3
"D","12/19/2019","01","508","UN.NEWINGTN24.0NEWI","NETWORK NODE",95.27,97.41,0.16,-2.3
"D","12/19/2019","01","513","UN.E_SHORE 22  NHHB","NETWORK NODE",98.24,97.41,0.16,0.67
"D","12/19/2019","01","515","UN.TUNNEL  69  NORJ","NETWORK NODE",97.88,97.41,0.16,0.31
"D","12/19/2019","01","527","UN.WARD_HIL23  OGD","NETWORK NODE",96.19,97.41,0.16,-1.38
"D","12/19/2019","01","528","UN.OCEAN_ST13.8OSP1","NETWORK NODE",98.25,97.41,0.16,0.68
"D","12/19/2019","01","529","UN.OCEAN_ST13.8OSP2","NETWORK NODE",98.25,97.41,0.16,0.68
"D","12/19/2019","01","531","UN.ADMIRAL 23.0PAWP","NETWORK NODE",98.15,97.41,0.16,0.58
"D","12/19/2019","01","532","UN.TOPSHAM 34.5PEJE","NETWORK NODE",93.46,97.41,0.16,-4.11
"D","12/19/2019","01","536","UN.CHEMICAL115 PERC","NETWORK NODE",90.53,97.41,0.16,-7.04
"D","12/19/2019","01","538","UN.FLAGG_PD13.8PINE","NETWORK NODE",98.04,97.41,0.16,0.47
"D","12/19/2019","01","539","UN.PONTOOK 34.5PONT","NETWORK NODE",9.15,97.41,-73.7,-14.56
"D","12/19/2019","01","540","UN.POTTER  13.8POT2","NETWORK NODE",97.04,97.41,0.16,-0.53
"D","12/19/2019","01","541","UN.FLORNCE 46  PROC","NETWORK NODE",97.61,97.41,0.16,0.04
"D","12/19/2019","01","542","UN.SPRNG_ST34.5PTRR","NETWORK NODE",94.58,97.41,0.16,-2.99
"D","12/19/2019","01","546","UN.RESCOS  115 RESC","NETWORK NODE",96.86,97.41,0.16,-0.71
"D","12/19/2019","01","547","UN.WARD_HIL23  RESN","NETWORK NODE",96.19,97.41,0.16,-1.38
"D","12/19/2019","01","549","UN.N_RUTLND46  RUT5","NETWORK NODE",97.96,97.41,0.16,0.39
"D","12/19/2019","01","555","UN.SEABROOK24.5SBRK","NETWORK NODE",95.35,97.41,0.16,-2.22
"D","12/19/2019","01","556","UN.SCHILLER115 SCH4","NETWORK NODE",95.43,97.41,0.16,-2.14
"D","12/19/2019","01","557","UN.SCHILLER115 SCH5","NETWORK NODE",95.43,97.41,0.16,-2.14
"D","12/19/2019","01","558","UN.SCHILLER115 SCH6","NETWORK NODE",95.43,97.41,0.16,-2.14
"D","12/19/2019","01","559","UN.SCHILLER115 SCHC","NETWORK NODE",95.43,97.41,0.16,-2.14
"D","12/19/2019","01","561","UN.SEARS   69  SEAR","NETWORK NODE",96.01,97.41,0.16,-1.56
"D","12/19/2019","01","562","UN.SECREC  69  SECR","NETWORK NODE",97.88,97.41,0.16,0.31
"D","12/19/2019","01","563","UN.SEMASS  13.8SEM1","NETWORK NODE",99.56,97.41,0.16,1.99
"D","12/19/2019","01","564","UN.SEMASS  13.8SEM2","NETWORK NODE",99.56,97.41,0.16,1.99
"D","12/19/2019","01","565","UN.HIGHGATE46  SHEL","NETWORK NODE",89.81,97.41,0.16,-7.76
"D","12/19/2019","01","566","UN.SHEPAUG 69  SHEP","NETWORK NODE",96.5,97.41,0.16,-1.07
"D","12/19/2019","01","567","UN.SHERMAN 115 SHER","NETWORK NODE",96.7,97.41,0.16,-0.87
"D","12/19/2019","01","568","UN.ROLF_AVE69  SHRW","NETWORK NODE",98.69,97.41,0.16,1.12
"D","12/19/2019","01","569","UN.LOUDEN  34.5SKEL","NETWORK NODE",94.86,97.41,0.16,-2.71
"D","12/19/2019","01","570","UN.SMITH_HY6.9 SMTH","NETWORK NODE",9.98,97.41,-73.7,-13.73
"D","12/19/2019","01","572","UN.S_MEADOW13.8SO11","NETWORK NODE",99.04,97.41,0.16,1.47
