Date,Hour,PartID,Awarded,MCSimpleED,MCMarket
10/25/2019,21,206845,1287.2,17.8485925436234,18.2143464561052
10/25/2019,21,872788,913,18.2364677401558,18.6539464244531
10/25/2019,21,902793,832.1,18.2798667476812,18.7654370305862
10/25/2019,21,328723,601,18.6066656072783,19.1185517997396
10/25/2019,21,595644,559,18.5810368500377,19.160831444585
10/25/2019,21,739738,492.5,18.7846726482242,19.3260741594611
10/25/2019,21,295534,345,18.9013064313238,19.4654797727475
10/25/2019,22,401592,2114,16.4950425545845,16.6539516359041
10/25/2019,22,591975,1473,16.9772127490228,17.1397287573605
10/25/2019,22,212494,1447,17.0831849793382,17.2509096963389
10/25/2019,22,206845,1287.2,17.2909284655919,17.454175281805
10/25/2019,22,902793,809.100000000003,17.6306492517307,17.802709307976
10/25/2019,22,872788,640,17.7905728367931,17.9656838613878
10/25/2019,22,739738,493.1,18.0342980101874,18.2035715393007
10/25/2019,22,595644,450,17.9796969012308,18.1498355050537
10/25/2019,22,328723,438,18.0793935801511,18.2454241202539
10/25/2019,22,975156,196,18.3413284487525,18.5103001516674
10/25/2019,23,401592,2114,16.4234217078831,16.7175075375577
10/25/2019,23,206845,1287.2,17.2316747504196,17.513896027599
10/25/2019,23,591975,1159,17.2068376881563,17.4669820342677
10/25/2019,23,902793,795.199999999999,17.5887332050926,17.8795201326458
10/25/2019,23,212494,672,17.8325274905672,18.1053365268173
10/25/2019,23,872788,640,17.7343359139444,18.0266158390057
10/25/2019,23,739738,493.8,17.9849481281236,18.2596098807309
10/25/2019,23,328723,438,18.032256578861,18.3011447535532
10/25/2019,23,595644,428,17.9559086805521,18.2355843005265
10/25/2019,23,975156,196,18.2983967146157,18.5649593081138
10/26/2019,0,401592,2114,15.9287944895889,9.7969058723515
10/26/2019,0,206845,1287.9,16.7733412597642,12.0851302379383
10/26/2019,0,591975,1159,16.7641899769853,10.6875454038567
10/26/2019,0,902793,831,17.1108091090401,12.8739593391057
10/26/2019,0,595644,559,17.385406723033,13.8988861520937
10/26/2019,0,328723,463,17.5825952528929,14.1600480316192
10/26/2019,0,872788,430.900000000001,17.5609542091943,14.1731916288813
10/26/2019,0,212494,409,17.6716482846708,14.5196059162187
10/26/2019,0,975156,196,17.8896231530134,15.1050817524971
10/26/2019,0,589605,184.8,17.90107342558,15.140620248444
10/26/2019,2,401592,2114,15.5158619731355,7.20621244520119
10/26/2019,2,206845,1287.9,16.3850012465474,9.75359673991231
10/26/2019,2,591975,1161,16.3534645422687,8.92370694504083
10/26/2019,2,902793,579.9,17.0222919779423,11.2094294184296
10/26/2019,2,595644,537,17.0101676909448,12.0680596695447
10/26/2019,2,328723,464,17.219175445696,11.4785288993369
10/26/2019,2,872788,420,17.1958023795715,12.4206880175747
10/26/2019,2,212494,411,17.3075127719179,12.4576292880687
10/26/2019,2,975156,196,17.5337876567472,13.0639588652285
10/26/2019,2,589605,184.8,17.5455720400357,13.1551457236865
10/26/2019,3,401592,2114,15.2280126782967,5.95599946868515
10/26/2019,3,206845,1287.9,16.1275735706614,8.77603309636689
10/26/2019,3,591975,1161,16.0797597981766,8.24923761238426
10/26/2019,3,902793,555,16.8115619043742,10.4234415195477
10/26/2019,3,328723,465,16.990499635237,10.5201908606156
10/26/2019,3,595644,435.900000000001,16.9039946867483,11.6843685916416
10/26/2019,3,872788,420,16.9585840406482,11.7363876022135
10/26/2019,3,212494,411,17.0824139450457,11.7694812117451
10/26/2019,3,975156,196,17.3165685035394,12.4366766935607
10/26/2019,3,589605,184.8,17.3287666712153,12.541653595938
10/26/2019,4,401592,2114,15.3736845207289,6.13376172037649
10/26/2019,4,206845,1287.9,16.2553979632199,8.90289201498244
